Ticker,outstandingShares,volume,averageVolume,relativeVolume,turnoverRatio
MRVL,865299968,28785700,20310850.0,1.4172572787451043,0.03326672953257292
PCG,2193509888,33683500,20704015.0,1.6269066652047923,0.01535598274905064
PAGS,191528992,8045500,7924230.0,1.0153036951224284,0.04200669525791688
NKE,1190599936,49863700,14096030.0,3.5374286235202392,0.04188115461145128
NEE,2056400000,27547500,10436050.0,2.639648142735997,0.013395983271737017
TNYA,79220496,9572800,7495975.0,1.2770586881626473,0.12083741561022289
CLF,493944000,49662000,16451910.0,3.018616075580282,0.10054176181915359
AG,301864000,13557900,9024335.0,1.502371088839233,0.04491393475207378
KDP,1356450048,25034800,11070705.0,2.261355532461573,0.01845611641719666
ZETA,212558000,8648800,9155445.0,0.9446618924585315,0.04068912955522728
SLB,1412150016,36346900,12386045.0,2.934504113298474,0.0257386960225053
NGD,790900992,13763600,8458750.0,1.6271434904684499,0.017402431074457422
DJT,216924000,15245600,12817260.0,1.189458589433311,0.07028083568438716
URBN,92277104,3393200,2584155.0,1.3130791303153255,0.036771851877796254
SEDG,57950100,7364800,5448585.0,1.3516903930102953,0.1270886504078509
NFE,267120000,5994600,5682265.0,1.054966637423633,0.022441599281221924
HAL,878502016,18032300,9550050.0,1.8881890670729473,0.02052619080159288
LRCX,1286690048,29399100,12820605.0,2.293113312515283,0.02284862624506753
NTNX,267928000,4806100,4381020.0,1.0970276328343627,0.017938028126959483
CVX,1782919936,32142000,10117310.0,3.1769314175408288,0.018027730438704342
RUN,224339008,13761400,8200825.0,1.6780506839250928,0.06134198471627369
JWN,164907008,4576700,2900530.0,1.5778840418820008,0.027753217134350045
HIVE,129042000,15668200,9066985.0,1.7280496217871761,0.12141938283659584
CVS,1258409984,21421000,14982875.0,1.4296989062513035,0.017022274356017823
STNE,278025984,7943400,7297045.0,1.088577636563842,0.028570710858449835
GAP,377121984,11006500,8222185.0,1.3386344384126603,0.029185516800845003
CRM,957000000,14926800,8125825.0,1.8369580934858922,0.015597492163009404
CDE,399240992,17155600,9459800.0,1.8135267130383306,0.04297053745423015
VRT,375336000,8715500,6750500.0,1.291089548922302,0.023220527740477864
META,2180000000,48917700,13422960.0,3.6443303116451213,0.022439311926605504
BMY,2028179968,48210700,11812785.0,4.081230632742406,0.023770425090797465
FCX,1436930048,22370400,12162400.0,1.83930803130961,0.015568189997234994
NEM,1138450048,23924000,10921470.0,2.1905476094335286,0.021014536423472487
SNOW,330071008,5299900,7466545.0,0.7098196019711929,0.016056847985873392
ASTS,200344992,9571900,7549165.0,1.2679415538009833,0.047777086436979664
HST,699028992,19799300,7901065.0,2.5059026852709096,0.02832400404931989
OXY,938342976,29067300,12236260.0,2.375505260594332,0.03097726603539898
AFRM,271918016,8698800,8300985.0,1.0479238307261127,0.03199052467343686
TGT,458212000,7162500,7592445.0,0.9433719967678396,0.01563141078801952
KHC,1209170048,20431400,11928955.0,1.7127569011703037,0.01689704440975369
ARWR,124434000,4011000,2256430.0,1.7775867188434828,0.032233955349824005
SQ,559742016,8829200,8722610.0,1.0122199662715632,0.015773695287509024
AMGN,537532992,13687600,5160780.0,2.652234739709889,0.02546373934941653
FLNC,129621000,3404000,4552445.0,0.7477300659316037,0.026261176815485145
