Ticker,outstandingShares,volume,averageVolume,relativeVolume,turnoverRatio,VWAP,recentClose,momentum (%),latestCrossover,crossoverDate,daysSinceCrossover,RSI,latestUpper,latestMiddle,latestLower
BITF,472551008,55713400,53430860.0,1.0427195070414363,0.1178992300446008,2.2028322217000587,1.6799999475479126,-23.73454814223867,Bearish,2024-12-10,12,38.20160814934475,2.3201270861956833,2.0249999940395353,1.7298729018833874
TSLA,3210060032,131374800,90593340.0,1.4501595812672323,0.0409259635926958,269.5589091980274,421.05999755859375,56.203331884411355,Bullish,2024-12-06,16,60.75547487344214,480.6786285672957,392.13500061035154,303.5913726534074
PLUG,911196992,83794200,67047365.0,1.24977618434371,0.0919605757434282,2.231900048876322,2.559999942779541,14.700474336581735,Bullish,2024-12-20,2,58.56297147892355,2.701764910040255,2.317000025510788,1.9322351409813208
INTC,4312999936,108060900,84181360.0,1.2836677858376249,0.0250546954795966,23.551200503966353,19.520000457763672,-17.11674971950483,Bearish,2024-11-19,33,34.70259492914377,25.312212623003642,21.62799987792969,17.943787132855736
LCID,3011689984,156730300,91698230.0,1.7091965679163057,0.0520406485503655,2.8587279860833563,3.0199999809265137,5.6413900038146165,Bullish,2024-11-11,41,68.42501691117005,2.915009074793774,2.381249988079071,1.847490901364368
PLTR,2180649984,278971100,92679145.0,3.010074165013068,0.1279302510934281,46.43486099308856,80.55000305175781,73.46881487110944,Bearish,2024-12-11,11,70.81014380989892,79.88459381702785,71.24099998474121,62.597406152454575
RIVN,1012849984,41894400,45058305.0,0.929781979149016,0.0413628875567025,13.05130837031114,13.829999923706055,5.966386903908165,Bearish,2024-12-19,3,58.042922749187866,15.559257904275064,12.986000061035156,10.412742217795248
SOFI,1085149952,52620600,49600130.0,1.060896412973111,0.0484915470926547,10.155663854246502,15.350000381469727,51.147188423839566,Bearish,2024-12-05,17,53.04359398906403,16.805729383689986,15.860499906539918,14.915270429389848
NIO,1941929984,36525600,53642745.0,0.6809047523574716,0.0188089170572279,5.1128897232992765,4.539999961853027,-11.204813568256883,Bullish,2024-12-20,2,46.867237387866076,4.967466610750548,4.57400004863739,4.180533486524232
IREN,214406000,14295000,19318680.0,0.7399573883929957,0.0666725744615355,10.37078049478436,11.8100004196167,13.87764330328029,Bearish,2024-12-13,9,47.49415245726202,15.731766091105776,12.851749992370605,9.971733893635434
