Ticker,outstandingShares,trainingVolume,averageTrainingVolume,relativeTrainingVolume,trainingTurnoverRatio,trainingVWAP,trainingClose,percentageChange,trainingMomentum (%),trainingCrossover,trainingCrossoverDate,daysSinceTrainingCrossover,trainingRSI,trainingUpper,trainingMiddle,trainingLower
VCIG,12508500,1122800,19884800.0,0.0564652397811393,0.0897629611863932,3.6410679255635583,1.5700000524520874,102.54776818577514,-56.880781008525524,Bearish,2024-12-16,4,39.700240644012595,3.7884990404577437,2.2192500054836275,0.6500009705095113
NVDA,24490000384,209719200,221437525.0,0.9470806720766952,0.0085634625035373,124.74529900174572,130.67999267578125,103.07622015440008,4.757448754804361,Bullish,2024-11-07,8,40.03004957156039,147.4950704020091,137.67199935913087,127.84892831625264
MARA,339382016,47800000,79004335.0,0.6050300910703191,0.1408442337734242,20.48238059210456,20.3700008392334,97.98722760005457,-0.54866548527313,Bullish,2024-11-20,19,42.38010263505069,28.12915058124914,24.513500022888184,20.89784946452723
BBD,5295830016,35584900,40671840.0,0.8749272223730227,0.0067194188432199,2.4590805005141734,1.8799999952316284,102.65957193846289,-23.54865996300097,Bullish,2024-11-18,11,28.882800169930352,2.4210392194042973,2.1149999856948853,1.8089607519854736
SMCI,585564992,39138300,99416705.0,0.3936793117414221,0.0668385243904745,48.352548687398155,31.239999771118164,101.12035974402698,-35.39120352665078,Bullish,2024-11-19,27,42.66286501212685,45.61338529871233,37.02850008010864,28.443614861504955
ACHR,465529984,52338900,55301845.0,0.94642231194999,0.1124286335979596,5.5864325789851605,8.420000076293945,112.70783474024834,50.72230725504495,Bearish,2024-12-19,1,60.78057095390164,9.67136055570159,7.746999979019165,5.82263940233674
RGTI,280048992,176118500,154353185.0,1.1410098210801416,0.6288846060192211,5.14138957681636,7.46999979019165,125.43507561890688,45.291456299586756,Bearish,2024-11-18,4,60.63960839596284,10.686666753883426,4.9819999694824215,-0.7226668149185818
BITF,472551008,34279500,54172935.0,0.6327790805500939,0.0725413752582663,2.210932415090373,1.690000057220459,99.40827755420355,-23.56165906810953,Bullish,2024-12-06,4,38.45089166295883,2.292600362917141,2.043499994277954,1.7943996256387669
TSLA,3210060032,118566100,86925185.0,1.3640016987021657,0.0369357889939922,267.8960229817252,436.1700134277344,96.53575087604135,62.81317227971248,Bearish,2024-11-27,9,65.89892727245325,478.3828562856618,388.0640014648437,297.7451466440257
UMAC,14972000,2903300,11383055.0,0.2550545525783719,0.1939153085760085,12.670016790596641,10.550000190734863,119.52606093553912,-16.732547674563456,Bullish,2024-12-16,1,56.06127016535427,16.671034611360728,9.811000037193299,2.9509654630258693
PLUG,911196992,42184900,65023310.0,0.6487658041400846,0.04629613614879,2.2272911142176253,2.299999952316284,111.30434764580825,3.264451496013764,Bearish,2024-12-18,2,51.118621116477904,2.6936354099196174,2.2835000276565554,1.8733646453934931
INTC,4312999936,69117800,81724735.0,0.8457390531764954,0.016025458155722,23.596598449913163,19.059999465942383,102.41343654097813,-19.2256481102575,Bullish,2024-11-05,14,30.341628520725234,25.618875950506464,21.873999881744385,18.129123812982307
LCID,3011689984,90137500,86997090.0,1.0360978740783169,0.0299292093405587,2.854832014971789,2.630000114440918,114.82889161655041,-7.875486170526673,Bearish,2024-09-05,67,58.50299299254934,2.7966318692514953,2.3332499861717224,1.8698681030919495
PLTR,2180649984,99524300,81547425.0,1.2204468749319797,0.0456397407792336,45.25398943066412,74.20999908447266,108.54332845371468,63.98554032053566,Bullish,2024-12-03,8,63.52673847054346,78.8386299018559,70.2814998626709,61.7243698234859
RIVN,1012849984,38905300,44737200.0,0.8696409252255394,0.0384117101392973,13.044879001618384,13.0600004196167,105.89586125076063,0.11591842282661015,Bullish,2024-11-25,24,53.18904157077354,15.64040053312701,12.795500087738038,9.950599642349065
SOFI,1085149952,44149600,50009240.0,0.8828288532279235,0.0406852526866259,10.109344932715379,15.029999732971191,102.12907953548762,48.674318989075395,Bullish,2024-11-05,30,50.34145876707187,16.83589636744307,15.843499898910522,14.851103430377977
QUBT,118944000,122452800,69295365.0,1.7671138610785873,1.029499596448749,9.262553297632573,15.140000343322754,116.38045204539516,63.453853995014576,Bearish,2024-12-11,5,61.118674471991994,18.53843042115411,8.837250089645385,-0.8639302418633399
NIO,1941929984,27936400,54564580.0,0.511987813339716,0.0143858945637455,5.115755089714732,4.400000095367432,103.18181507843592,-13.991189605349394,Bearish,2024-12-19,1,43.140101292218624,4.978867679830809,4.582000041007996,4.185132402185183
IREN,214406000,15101600,19735285.0,0.7652081031512846,0.0704345960467524,10.361048495080913,11.414999961853027,103.46036319828029,10.17224721293888,Bullish,2024-11-29,14,45.33067698584549,15.908789887472896,12.747249984741211,9.585710082009527
OPEN,715070016,33941000,44760520.0,0.7582798412529613,0.047465282057079,2.0339993966267995,1.6649999618530273,101.50150726367634,-18.14157051303573,Bullish,2024-11-22,20,34.92304299205234,2.4362793546683896,2.0527500092983244,1.669220663928259
DELL,357336992,9248400,10053075.0,0.919957326489656,0.0258814514227511,120.85761551846801,111.95999908447266,103.40299891903283,-7.36206518374982,Bullish,2024-11-22,5,31.64597405193924,144.3068765589441,125.30349960327149,106.30012264759885
ABEV,15728199680,31838600,30142815.0,1.0562583487972177,0.0020243003425551,2.2619201966959355,2.0299999713897705,101.47783112377249,-10.253245257942293,Bullish,2024-12-02,11,36.02652648347536,2.3752715110750664,2.19099999666214,2.0067284822492137
