Ticker,Volume,outstandingShares,avgVolume,recentVolume,turnoverRatio,relativeVolume
NVDA,4669843600,24490000384,222373505,164414000,0.19068368831267715,0.7393596642729537
ACHR,870590100,389161984,41456671,51919400,2.2370892733448495,1.2523774521113864
BITF,1066518500,472500000,50786595,45872800,2.2571820105820106,0.9032462207793218
TSLA,2152430700,3210060032,102496700,58267200,0.6705266189862956,0.5684787900488504
PLUG,1460352600,911196992,69540600,90739700,1.602674957030587,1.3048449395029666
INTC,1570185100,4312999936,74770719,138160500,0.36405868845345607,1.8477888383017957
LCID,1571678800,3011689984,74841848,49624400,0.5218594238948069,0.66305685022636
PLTR,1832501100,2180649984,87261957,100751400,0.8403462790661227,1.1545856116887225
SOFI,1119989800,1085149952,53332848,43795800,1.0321060217860103,0.8211787227263768
NIO,1207864300,1941929984,57517348,79059800,0.621991683506546,1.374538339285045
IREN,430259400,214406000,20488543,15380400,2.006750743915749,0.7506829548592109
OPEN,949189000,715070016,45199476,32563100,1.3274070772952113,0.7204309182699374
DELL,186294600,357515008,8871171,6989900,0.5210819009869371,0.7879343099124118
GRAB,1075701800,3908999936,51223895,39148500,0.2751859344108211,0.7642624599320298
NU,991097900,3755130112,47195138,58206100,0.2639317068755672,1.2333071258314787
AMD,625122300,1622809984,29767729,22665300,0.3852097942232034,0.7614050772902428
F,1157892100,3903439872,55137719,43904300,0.2966337737916102,0.7962661640029034
PFE,1072209100,5666990080,51057576,49064300,0.18920257224095935,0.9609602304660918
HPQ,180905600,963408000,8614552,7311400,0.18777672595618886,0.8487266662271004
IQ,448735800,525220992,21368371,28792900,0.8543752188792941,1.3474541414504644
RKLB,676431300,499911008,32211014,30532400,1.3531034307610206,0.9478869556854063
WBD,736839600,2453169920,35087600,21156700,0.3003622349975659,0.6029680000912003
KSS,251212200,111238000,11962486,7504500,2.2583307862421114,0.6273361573840086
QBTS,576682200,224015008,27461057,24919200,2.5743016289337186,0.9074377581314513
SYM,78268700,104689000,3727081,3552800,0.7476306011137751,0.9532392776008892
GOLD,527069500,1748050048,25098548,19190400,0.30151854096113384,0.7646020000838295
JOBY,455618500,765086016,21696119,20553600,0.5955127795722253,0.9473399366955906
AMCR,343087600,1445340032,16337505,10853400,0.23737500685236676,0.6643242037263339
DNN,505346700,892617984,24064129,23204500,0.5661399490691866,0.9642775768032161
GGB,254552400,1344630016,12121543,8919700,0.1893103656552614,0.7358551629936881
MU,349776600,1114040064,16656029,23479700,0.31397129358536247,1.409681743469587
AES,366248400,711027008,17440400,13176900,0.5150977331088948,0.7555388637875278
BB,220672900,590728000,10508233,8679900,0.3735609282106147,0.8260094727629279
HPE,241341900,1298669952,11492471,9325900,0.18583774855830343,0.8114790979241975
APLT,157173800,116356000,7484467,9832400,1.3508009900649731,1.313707442360291
HOOD,527160500,763563008,25102881,17947600,0.690395546244168,0.714961760763635
AMC,309413100,375680000,14733957,10560400,0.8236081239352641,0.716738890984954
XPEV,314267800,773158016,14965133,8689600,0.4064729246757237,0.5806563830739092
AAL,467968100,657131008,22284195,16129000,0.7121382103460259,0.7237865222414361
SNAP,569027300,1423059968,27096538,37632900,0.3998617857262358,1.3888453203874236
WDAY,58865300,213000000,2803110,2699600,0.2763629107981221,0.9630731580280474
WBA,413579800,864617024,19694276,14916900,0.4783387193634531,0.7574231213170771
AU,88570500,503011008,4217643,4812000,0.17608063957121192,1.1409216000500753
KGC,382692400,1229049984,18223448,16329500,0.3113725275472604,0.8960708204067639
LX,96104100,128742000,4576386,4915300,0.7464859952463065,1.0740571271741501
UBER,399393300,2105709952,19018729,12760500,0.18967156403504523,0.6709438890474753
RIG,384323300,875804032,18301110,11576000,0.4388233965106934,0.6325299394408317
BZ,88664100,374604992,4222100,3382000,0.23668691526673516,0.8010231875133228
AGNC,353827300,885640000,16848919,17805100,0.3995159432726616,1.0567502876594042
BE,292019800,228576000,13905705,7944700,1.2775610737785243,0.5713266605324937
YMM,201369800,939156992,9589038,12948900,0.2144154829440912,1.3503857216959616
BTG,293840700,1311399936,13992414,16373100,0.2240664285040807,1.1701411922202989
GM,287401400,1099600000,13685781,14234800,0.26136904328846855,1.040116015300844
RXRX,227200900,381900992,10819090,11619100,0.5949209474690236,1.0739442966090493
SMR,249610200,101097000,11886200,11204800,2.469016884774029,0.9426730157661827
CRWD,85588200,233851008,4075629,3581900,0.36599457377579486,0.8788582081440681
APLD,348433400,211246000,16592067,9368000,1.6494201073629797,0.5646071704025786
WDC,108849700,345708000,5183319,5377700,0.31486022886366527,1.037501261257507
HL,278824000,637014976,13277333,11749100,0.43770399520403114,0.8848990983354865
ZIM,174172000,120389000,8293905,5989000,1.4467434732409108,0.7220965275102621
BTE,234139200,787328000,11149486,10061700,0.29738457161437165,0.9024362199297797
LUMN,369320600,1014809984,17586695,11088500,0.363930790810982,0.6305050494137756
PTON,362724800,363318016,17272610,17299500,0.9983672265787117,1.001556800043537
MAC,60188000,252227008,2866095,4622100,0.23862630920159034,1.6126820639232127
CNH,331441100,1248979968,15782910,12637900,0.26536942824690685,0.8007331981237934
JBLU,400430600,346876992,19068124,11999600,1.1543878932160483,0.6293015505877767
CIFR,236635100,347806016,11268338,7324100,0.680365172291902,0.6499716284690786
PDD,234879000,1388770048,11184714,9750000,0.16912735145624339,0.8717254638786472
OWL,146695500,568430976,6985500,8184400,0.2580709113220459,1.1716269415217235
NOVA,313642900,124953000,14935376,8406800,2.5100869927092586,0.5628783634238602
CCL,445034000,1154160000,21192095,19172800,0.3855912525126499,0.9047147061203717
